season,game_date,team,current_team_name,league,division,wins_entering,losses_entering,games_played_entering,games_left,division_leader,division_leader_wins,division_leader_losses,gb_division,division_rank_entering,wc_cutline_team,wc_cutline_wins,wc_cutline_losses,gb_playoff_cutline,wc_rank_entering,in_playoff_position_entering,won_division,made_playoffs_current_format
1996,1996-03-31,CHW,Chicago White Sox,AL,Central,0,0,0,162,CHW,0,0,0.000000,1,DET,0,0,0.000000,NULL,1,0,0
1996,1996-03-31,SEA,Seattle Mariners,AL,West,0,0,0,161,ATH,0,0,0.000000,4,DET,0,0,0.000000,9,0,0,1
1996,1996-04-01,DET,Detroit Tigers,AL,Central,0,0,0,162,CLE,0,0,0.000000,2,DET,0,0,0.000000,3,1,0,0
1996,1996-04-01,MIN,Minnesota Twins,AL,Central,0,0,0,162,CLE,0,0,0.000000,4,DET,0,0,0.000000,7,0,0,0
1996,1996-04-01,BOS,Boston Red Sox,AL,East,0,0,0,162,BAL,0,0,0.000000,2,DET,0,0,0.000000,2,1,0,1
1996,1996-04-01,TOR,Toronto Blue Jays,AL,East,0,0,0,162,BAL,0,0,0.000000,4,DET,0,0,0.000000,10,0,0,0
1996,1996-04-01,ATH,Athletics,AL,West,0,0,0,162,SEA,1,0,0.500000,2,DET,0,0,0.000000,1,1,0,0
1996,1996-04-01,HOU,Houston Astros,AL,West,0,0,0,162,SEA,1,0,0.500000,3,DET,0,0,0.000000,4,0,0,0
1996,1996-04-01,TEX,Texas Rangers,AL,West,0,0,0,162,SEA,1,0,0.500000,5,DET,0,0,0.000000,9,0,1,1
1996,1996-04-01,CHC,Chicago Cubs,NL,Central,0,0,0,162,CHC,0,0,0.000000,1,MIA,0,0,0.000000,NULL,1,0,0
1996,1996-04-01,PIT,Pittsburgh Pirates,NL,Central,0,0,0,162,CHC,0,0,0.000000,4,MIA,0,0,0.000000,7,0,0,0
1996,1996-04-01,STL,St. Louis Cardinals,NL,Central,0,0,0,162,CHC,0,0,0.000000,5,MIA,0,0,0.000000,10,0,1,1
1996,1996-04-01,ATL,Atlanta Braves,NL,East,0,0,0,162,ATL,0,0,0.000000,1,MIA,0,0,0.000000,NULL,1,1,1
1996,1996-04-01,MIA,Miami Marlins,NL,East,0,0,0,162,ATL,0,0,0.000000,2,MIA,0,0,0.000000,3,1,0,0
1996,1996-04-01,NYM,New York Mets,NL,East,0,0,0,162,ATL,0,0,0.000000,3,MIA,0,0,0.000000,5,0,0,0
1996,1996-04-01,LAD,Los Angeles Dodgers,NL,West,0,0,0,162,COL,0,0,0.000000,2,MIA,0,0,0.000000,2,1,0,1
1996,1996-04-01,SDP,San Diego Padres,NL,West,0,0,0,162,COL,0,0,0.000000,3,MIA,0,0,0.000000,8,0,1,1
1996,1996-04-01,SFG,San Francisco Giants,NL,West,0,0,0,162,COL,0,0,0.000000,4,MIA,0,0,0.000000,9,0,0,0
1996,1996-04-02,CHW,Chicago White Sox,AL,Central,0,1,1,161,MIN,1,0,1.000000,4,CLE,0,0,0.500000,9,0,0,0
1996,1996-04-02,CLE,Cleveland Guardians,AL,Central,0,0,0,161,MIN,1,0,0.500000,2,CLE,0,0,0.000000,3,1,1,1
1996,1996-04-02,DET,Detroit Tigers,AL,Central,0,1,1,161,MIN,1,0,1.000000,5,CLE,0,0,0.500000,10,0,0,0
1996,1996-04-02,KCR,Kansas City Royals,AL,Central,0,0,0,161,MIN,1,0,0.500000,3,CLE,0,0,0.000000,4,0,0,0
