Rank,OrgRank,PosRank,Name,Org,Pos
1,1,1,Konnor Griffin,PIT,SS
2,1,2,Jesús Made,MIL,SS
3,1,1,Nolan McLean,NYM,SP
4,1,1,Samuel Basallo,BAL,C
5,1,1,Kevin McGonigle,DET,3B
6,1,3,Leo De Vries,ATH,SS
7,2,1,Max Clark,DET,CF
8,1,2,Trey Yesavage,TOR,SP
9,1,3,Thomas White,MIA,SP
10,2,4,Bubba Chandler,PIT,SP
11,1,4,Colt Emerson,SEA,SS
12,1,1,JJ Wetherholt,STL,2B
13,1,5,Aidan Miller,PHI,SS
14,1,6,Franklin Arias,BOS,SS
15,1,7,Eli Willits,WSN,SS
16,1,1,Bryce Eldridge,SFG,1B
17,1,1,Josue De Paula,LAD,RF
18,2,5,Payton Tolle,BOS,SP
19,2,6,Liam Doyle,STL,SP
20,2,7,Ryan Sloan,SEA,SP
21,2,2,Carson Benge,NYM,CF
22,1,2,Alfredo Duno,CIN,C
23,3,8,Bryce Rainer,DET,SS
24,2,9,Luis Peña,MIL,SS
25,3,3,Rainiel Rodriguez,STL,C
26,1,2,Chase DeLauter,CLE,RF
27,2,8,Andrew Painter,PHI,SP
28,1,10,Carson Williams,TBR,SS
29,2,9,Jarlin Susana,WSN,SP
30,1,11,Sebastian Walcott,TEX,SS
31,1,3,Walker Jenkins,MIN,CF
32,1,4,Carter Jensen,KCR,C
33,1,2,Caleb Bonemer,CHW,3B
34,2,3,Sal Stewart,CIN,3B
35,1,1,Ryan Waldschmidt,ARI,LF
36,2,10,Noah Schultz,CHW,SP
37,3,11,Brandon Sproat,MIL,SP
38,3,12,Connelly Early,BOS,SP
39,2,2,Dylan Beavers,BAL,LF
40,2,2,Ralphy Velazquez,CLE,1B
41,2,3,Zyhir Hope,LAD,RF
42,3,12,Angel Genao,CLE,SS
43,3,4,Eduardo Quintero,LAD,CF
44,2,13,Josuar Gonzalez,SFG,SS
45,3,13,Seth Hernandez,PIT,SP
46,2,5,Eduardo Tait,MIN,C
47,1,4,Ethan Holliday,COL,3B
48,2,14,Arjun Nimmala,TOR,SS
49,1,15,George Lombard Jr.,NYY,SS
50,3,14,Kade Anderson,SEA,SP
51,4,5,Jonny Farmelo,SEA,CF
52,1,15,Tyler Bremner,LAA,SP
53,2,16,Elmer Rodríguez,NYY,SP
54,4,2,Travis Bazzana,CLE,2B
55,1,16,Jefferson Rojas,CHC,SS
56,2,6,Joe Mack,MIA,C
57,2,17,George Klassen,LAA,SP
58,3,18,Jonah Tong,NYM,SP
59,2,19,Brody Hopkins,TBR,SP
60,2,6,Kevin Alcántara,CHC,CF
61,4,17,Emil Morales,LAD,SS
62,3,4,Owen Caissie,MIA,RF
63,4,3,Josue Briceño,DET,1B
64,3,20,Luis De León,BAL,SP
65,3,21,Hagen Smith,CHW,SP
66,5,5,Lazaro Montes,SEA,RF
67,2,3,Charlie Condon,COL,LF
68,1,22,JR Ritchie,ATL,SP
69,3,18,Dax Kilby,NYY,SS
70,2,19,Yolfran Castillo,TEX,SS
71,3,23,Caden Scarborough,TEX,SP
72,3,24,Jaxon Wiggins,CHC,SP
73,4,25,Carlos Lagrange,NYY,SP
74,3,7,Harry Ford,WSN,C
75,4,7,Jett Williams,MIL,CF
76,5,8,Jeferson Quero,MIL,C
77,3,20,Jhonny Level,SFG,SS
78,6,3,Michael Arroyo,SEA,2B
79,4,26,Jack Wenninger,NYM,SP
80,4,27,Robby Snelling,MIA,SP
81,2,28,Gage Jump,ATH,SP
82,5,29,Parker Messick,CLE,SP
83,4,30,Trey Gibson,BAL,SP
84,4,9,Moisés Ballesteros,CHC,C
85,5,5,Jacob Reimer,NYM,3B
86,7,21,Felnin Celesten,SEA,SS
87,5,22,Aiva Arquette,MIA,SS
88,6,31,Logan Henderson,MIL,SP
89,4,32,David Davalillo,TEX,SP
90,2,33,Didier Fuentes,ATL,SP
91,6,34,Khal Stephen,CLE,SP
92,3,35,Michael Forret,TBR,SP
93,4,10,Jimmy Crooks,STL,C
94,5,36,Jurrangelo Cijntje,STL,SP
95,4,37,Christian Oppor,CHW,SP
96,4,38,Kyson Witherspoon,BOS,SP
97,3,23,Kaelen Culpepper,MIN,SS
98,2,4,Tommy Troy,ARI,2B
99,3,8,Roldy Brito,COL,CF
100,5,6,Braden Montgomery,CHW,RF
101,4,4,Edward Florentino,PIT,LF
102,3,39,Rhett Lowder,CIN,SP
103,5,40,Winston Santos,TEX,SP
104,6,41,Tanner McDougal,CHW,SP
105,5,11,Thayron Liranzo,DET,C
106,2,12,Blake Mitchell,KCR,C
107,5,42,River Ryan,LAD,SP
108,3,43,Jake Bloss,TOR,SP
109,4,44,Travis Sykora,WSN,SP
110,1,13,Ethan Salas,SDP,C
,3,,Jansel Luis,ARI,3B
,3,,Trey Gregory-Alford,LAA,SP
,3,,Cam Caminiti,ATL,SP
,3,,Justin Crawford,PHI,CF
,4,,JoJo Parker,TOR,3B
,4,,JD Dix,ARI,2B
,4,,Hayden Alvarez,LAA,CF
,4,,Steele Hall,CIN,SS
,4,,Owen Murphy,ATL,SP
,4,,Aroon Escobar,PHI,2B
