Rank,OrgRank,PosRank,Org,Name,,Pos,FV
1,1,1,PIT,Konnor Griffin,,SS,70
2,1,2,MIL,Jesús Made,,SS,65
3,1,1,NYM,Nolan McLean,,SP,65
4,1,1,BAL,Samuel Basallo,,C,65
5,1,1,DET,Kevin McGonigle,,3B,60
6,1,3,ATH,Leo De Vries,,SS,60
7,2,1,DET,Max Clark,,CF,60
8,1,2,TOR,Trey Yesavage,,SP,60
9,1,3,MIA,Thomas White,,SP,60
10,2,4,PIT,Bubba Chandler,,SP,60
11,1,4,SEA,Colt Emerson,,SS,55
12,1,1,STL,JJ Wetherholt,,2B,55
13,1,5,PHI,Aidan Miller,,SS,55
14,1,6,BOS,Franklin Arias,,SS,55
15,1,7,WSN,Eli Willits,,SS,55
16,1,1,SFG,Bryce Eldridge,,1B,55
17,1,1,LAD,Josue De Paula,,RF,55
18,2,5,BOS,Payton Tolle,,SP,55
19,2,6,STL,Liam Doyle,,SP,55
20,2,7,SEA,Ryan Sloan,,SP,55
21,2,2,NYM,Carson Benge,,CF,55
22,1,2,CIN,Alfredo Duno,,C,55
23,3,8,DET,Bryce Rainer,,SS,55
24,2,9,MIL,Luis Peña,,SS,55
25,3,3,STL,Rainiel Rodriguez,,C,55
26,1,2,CLE,Chase DeLauter,,RF,55
27,2,8,PHI,Andrew Painter,,SP,55
28,1,10,TBR,Carson Williams,,SS,55
29,2,9,WSN,Jarlin Susana,,SP,55
30,1,11,TEX,Sebastian Walcott,,SS,55
31,1,3,MIN,Walker Jenkins,,CF,50
32,1,4,KCR,Carter Jensen,,C,50
33,1,2,CHW,Caleb Bonemer,,3B,50
34,2,3,CIN,Sal Stewart,,3B,50
35,1,1,ARI,Ryan Waldschmidt,,LF,50
36,2,10,CHW,Noah Schultz,,SP,50
37,3,11,MIL,Brandon Sproat,,SP,50
38,3,12,BOS,Connelly Early,,SP,50
39,2,2,BAL,Dylan Beavers,,LF,50
40,2,2,CLE,Ralphy Velazquez,,1B,50
41,2,3,LAD,Zyhir Hope,,RF,50
42,3,12,CLE,Angel Genao,,SS,50
43,3,4,LAD,Eduardo Quintero,,CF,50
44,2,13,SFG,Josuar Gonzalez,,SS,50
45,3,13,PIT,Seth Hernandez,,SP,50
46,2,5,MIN,Eduardo Tait,,C,50
47,1,4,COL,Ethan Holliday,,3B,50
48,2,14,TOR,Arjun Nimmala,,SS,50
49,1,15,NYY,George Lombard Jr.,,SS,50
50,3,14,SEA,Kade Anderson,,SP,50
51,4,5,SEA,Jonny Farmelo,,CF,50
52,1,15,LAA,Tyler Bremner,,SP,50
53,2,16,NYY,Elmer Rodríguez,,SP,50
54,4,2,CLE,Travis Bazzana,,2B,50
55,1,16,CHC,Jefferson Rojas,,SS,50
56,2,6,MIA,Joe Mack,,C,50
57,2,17,LAA,George Klassen,,SP,50
58,3,18,NYM,Jonah Tong,,SP,50
59,2,19,TBR,Brody Hopkins,,SP,50
60,2,6,CHC,Kevin Alcántara,,CF,50
61,4,17,LAD,Emil Morales,,SS,50
62,3,4,MIA,Owen Caissie,,RF,50
63,4,3,DET,Josue Briceño,,1B,50
64,3,20,BAL,Luis De León,,SP,50
65,3,21,CHW,Hagen Smith,,SP,50
66,5,5,SEA,Lazaro Montes,,RF,50
67,2,3,COL,Charlie Condon,,LF,50
68,1,22,ATL,JR Ritchie,,SP,50
69,3,18,NYY,Dax Kilby,,SS,50
70,2,19,TEX,Yolfran Castillo,,SS,50
71,3,23,TEX,Caden Scarborough,,SP,50
72,3,24,CHC,Jaxon Wiggins,,SP,50
73,4,1,NYY,Carlos Lagrange,,SIRP,50
74,3,7,WSN,Harry Ford,,C,50
75,4,7,MIL,Jett Williams,,CF,50
76,5,8,MIL,Jeferson Quero,,C,50
77,3,20,SFG,Jhonny Level,,SS,50
78,6,3,SEA,Michael Arroyo,,2B,50
79,4,25,NYM,Jack Wenninger,,SP,50
80,4,26,MIA,Robby Snelling,,SP,50
81,2,27,ATH,Gage Jump,,SP,50
82,5,28,CLE,Parker Messick,,SP,50
83,4,29,BAL,Trey Gibson,,SP,50
84,4,9,CHC,Moisés Ballesteros,,C,50
85,5,5,NYM,Jacob Reimer,,3B,50
86,7,21,SEA,Felnin Celesten,,SS,50
87,5,22,MIA,Aiva Arquette,,SS,50
88,6,30,MIL,Logan Henderson,,SP,50
89,4,31,TEX,David Davalillo,,SP,50
90,2,32,ATL,Didier Fuentes,,SP,50
91,6,33,CLE,Khal Stephen,,SP,50
92,3,34,TBR,Michael Forret,,SP,50
93,4,10,STL,Jimmy Crooks,,C,50
94,5,35,STL,Jurrangelo Cijntje,,SP,50
95,4,36,CHW,Christian Oppor,,SP,50
96,4,37,BOS,Kyson Witherspoon,,SP,50
97,3,23,MIN,Kaelen Culpepper,,SS,50
98,2,4,ARI,Tommy Troy,,2B,50
99,3,8,COL,Roldy Brito,,CF,50
100,5,6,CHW,Braden Montgomery,,RF,50
101,4,4,PIT,Edward Florentino,,LF,50
102,3,38,CIN,Rhett Lowder,,SP,50
103,5,39,TEX,Winston Santos,,SP,50
104,6,40,CHW,Tanner McDougal,,SP,50
105,5,11,DET,Thayron Liranzo,,C,50
106,2,12,KCR,Blake Mitchell,,C,50
107,5,41,LAD,River Ryan,,SP,50
108,3,42,TOR,Jake Bloss,,SP,50
109,4,43,WSN,Travis Sykora,,SP,50
110,1,13,SDP,Ethan Salas,,C,50
