Name,Team,ERA
Tarik Skubal,DET,2.54
Garrett Crochet,BOS,2.78
Paul Skenes,PIT,2.75
Logan Webb,SFG,3.06
Cristopher Sánchez,PHI,3.28
Yoshinobu Yamamoto,LAD,3.31
Max Fried,NYY,3.37
Hunter Brown,HOU,3.06
Dylan Cease,TOR,3.61
Andrew Abbott,CIN,3.8
Ranger Suarez,BOS,3.48
Hunter Greene,CIN,3.55
Bryan Woo,SEA,3.33
Jesús Luzardo,PHI,3.99
Sonny Gray,BOS,3.74
Framber Valdez,DET,3.39
Cole Ragans,KCR,3.51
MacKenzie Gore,TEX,3.82
George Kirby,SEA,3.53
Logan Gilbert,SEA,3.42
Chris Sale,ATL,3.1
Kevin Gausman,TOR,3.77
Jacob deGrom,TEX,3.48
Joe Ryan,MIN,3.77
Pablo López,MIN,3.69
Zack Wheeler,PHI,3.43
Freddy Peralta,NYM,3.86
Spencer Strider,ATL,3.87
Corbin Burnes,ARI,3.19
Tanner Bibee,CLE,3.71
Chase Burns,CIN,3.78
Aaron Nola,PHI,4.25
Shane McClanahan,TBR,3.32
Sandy Alcantara,MIA,3.99
Spencer Schwellenbach,ATL,3.39
Brady Singer,CIN,4.39
Jack Leiter,TEX,4.05
Drew Rasmussen,TBR,3.56
Matthew Boyd,CHC,3.84
Justin Steele,CHC,3.52
Mitch Keller,PIT,4.02
Kyle Bradish,BAL,3.51
Bailey Ober,MIN,4.22
Nick Pivetta,SDP,3.87
Kris Bubic,KCR,3.57
David Peterson,NYM,4.07
Brandon Pfaadt,ARI,4.12
Michael King,SDP,3.55
Blake Snell,LAD,3.56
Jack Flaherty,DET,4.14
Brayan Bello,BOS,4.02
Michael Wacha,KCR,4.1
Nick Martinez,TBR,4.26
Luis Castillo,SEA,3.77
Trevor Rogers,BAL,3.95
Nick Lodolo,CIN,4.24
Taj Bradley,MIN,4.27
José Soriano,LAA,4.05
Shane Smith,CHW,3.98
Zebby Matthews,MIN,3.93
Carlos Rodón,NYY,4.04
Michael McGreevy,STL,3.92
Clay Holmes,NYM,3.9
Gavin Williams,CLE,3.59
Brandon Woodruff,MIL,3.61
Zac Gallen,ARI,3.81
Jeffrey Springs,ATH,4.12
Tyler Glasnow,LAD,3.76
Cam Schlittler,NYY,4.06
Bubba Chandler,PIT,3.89
Nolan McLean,NYM,3.94
Jonah Tong,NYM,4.07
Jacob Misiorowski,MIL,3.86
Casey Mize,DET,4.04
Merrill Kelly,ARI,3.75
Yusei Kikuchi,LAA,4.33
Drew Anderson,DET,4.19
Reid Detmers,LAA,4.12
Gerrit Cole,NYY,3.91
Chris Bassitt,BAL,4.05
Simeon Woods Richardson,MIN,4.16
Connelly Early,BOS,4.07
Eury Pérez,MIA,4.09
Ryan Pepiot,TBR,4.08
Shane Bieber,TOR,3.66
Reese Olson,DET,3.87
Trey Yesavage,TOR,3.88
Cody Ponce,TOR,4.2
Dietrich Enns,BAL,3.98
Will Warren,NYY,4.48
Luis Severino,ATH,4.46
Braxton Ashcraft,PIT,3.61
Robby Snelling,MIA,4.02
Noah Cameron,KCR,4.08
Janson Junk,MIA,4.36
Cade Povich,BAL,4.3
Shane Baz,BAL,4.27
Zack Littell,WSN,4.68
Louis Varland,TOR,3.64
Bryce Elder,ATL,4.38
Dean Kremer,BAL,4.28
Edward Cabrera,CHC,3.88
Brandon Sproat,MIL,4.2
Quinn Priester,MIL,4.09
Bryce Miller,SEA,4.02
Chad Patrick,MIL,4.37
Ben Brown,CHC,4.1
Carmen Mlodzinski,PIT,3.59
Jacob Lopez,ATH,3.98
Cade Horton,CHC,3.89
Shota Imanaga,CHC,3.96
Emmet Sheehan,LAD,3.99
Grayson Rodriguez,LAA,4.1
Payton Tolle,BOS,4.15
Matthew Liberatore,STL,4.1
Ryan Weiss,HOU,4.17
