Name,Team,ERA
Tarik Skubal,Detroit Tigers,2.54
Garrett Crochet,Boston Red Sox,2.78
Paul Skenes,Pittsburgh Pirates,2.75
Logan Webb,San Francisco Giants,3.06
Cristopher S�nchez,Philadelphia Phillies,3.28
Yoshinobu Yamamoto,Los Angeles Dodgers,3.31
Max Fried,New York Yankees,3.37
Hunter Brown,Houston Astros,3.06
Dylan Cease,Toronto Blue Jays,3.61
Andrew Abbott,Cincinnati Reds,3.8
Ranger Su�rez,Boston Red Sox,3.48
Hunter Greene,Cincinnati Reds,3.55
Bryan Woo,Seattle Mariners,3.33
Jes�s Luzardo,Philadelphia Phillies,3.99
Sonny Gray,Boston Red Sox,3.74
Framber Valdez,Detroit Tigers,3.39
Cole Ragans,Kansas City Royals,3.51
MacKenzie Gore,Texas Rangers,3.82
George Kirby,Seattle Mariners,3.53
Logan Gilbert,Seattle Mariners,3.42
Chris Sale,Atlanta Braves,3.1
Kevin Gausman,Toronto Blue Jays,3.77
Jacob deGrom,Texas Rangers,3.48
Joe Ryan,Minnesota Twins,3.77
Pablo L�pez,Minnesota Twins,3.69
Zack Wheeler,Philadelphia Phillies,3.43
Freddy Peralta,New York Mets,3.86
Spencer Strider,Atlanta Braves,3.87
Corbin Burnes,Arizona Diamondbacks,3.19
Tanner Bibee,Cleveland Indians,3.71
Chase Burns,Cincinnati Reds,3.78
Aaron Nola,Philadelphia Phillies,4.25
Shane McClanahan,Tampa Bay Rays,3.32
Sandy Alcantara,Miami Marlins,3.99
Spencer Schwellenbach,Atlanta Braves,3.39
Brady Singer,Cincinnati Reds,4.39
Jack Leiter,Texas Rangers,4.05
Drew Rasmussen,Tampa Bay Rays,3.56
Matthew Boyd,Boston Red Sox,3.84
Justin Steele,Boston Red Sox,3.52
Mitch Keller,Pittsburgh Pirates,4.02
Kyle Bradish,Baltimore Orioles,3.51
Bailey Ober,Minnesota Twins,4.22
Nick Pivetta,San Diego Padres,3.87
Kris Bubic,Kansas City Royals,3.57
David Peterson,New York Mets,4.07
Brandon Pfaadt,Arizona Diamondbacks,4.12
Michael King,San Diego Padres,3.55
Blake Snell,Los Angeles Dodgers,3.56
Jack Flaherty,Detroit Tigers,4.14
Brayan Bello,Boston Red Sox,4.02
Michael Wacha,Kansas City Royals,4.1
Nick Martinez,Tampa Bay Rays,4.26
Luis Castillo,Seattle Mariners,3.77
Trevor Rogers,Baltimore Orioles,3.95
Nick Lodolo,Cincinnati Reds,4.24
Taj Bradley,Minnesota Twins,4.27
