Name,Team,IP,WAR,war_per_200
Tarik Skubal,Detroit Tigers,184.1,6.4,6.952743074
Garrett Crochet,Boston Red Sox,174.2,5.1,5.855338691
Paul Skenes,Pittsburgh Pirates,180.1,5,5.55247085
Cole Ragans,Kansas City Royals,115.2,2.9,5.034722222
Logan Webb,San Francisco Giants,200,5,5
Yoshinobu Yamamoto,Los Angeles Dodgers,169,4.2,4.970414201
Griffin Jax,Tampa Bay Rays,65.2,1.6,4.90797546
Cristopher Sánchez,Philadelphia Phillies,178.2,4.3,4.826038159
Chase Burns,Cincinnati Reds,104.1,2.5,4.803073967
Chris Sale,Atlanta Braves,124.1,2.9,4.673650282
Hunter Greene,Cincinnati Reds,137,3.2,4.671532847
Mason Miller,San Diego Padres,61.1,1.4,4.582651391
Hunter Brown,Houston Astros,166.2,3.8,4.572803851
Jhoan Duran,Philadelphia Phillies,66,1.5,4.545454545
Kris Bubic,Kansas City Royals,107,2.4,4.485981308
Shane McClanahan,Tampa Bay Rays,112.1,2.5,4.460303301
Kyle Bradish,Baltimore Orioles,100,2.2,4.4
Dylan Cease,Toronto Blue Jays,164.2,3.6,4.384896468
Brandon Woodruff,Milwaukee Brewers,97.2,2.1,4.320987654
Max Fried,New York Yankees,172,3.7,4.302325581
Bryan Woo,Seattle Mariners,161.1,3.4,4.220980757
Zack Wheeler,Philadelphia Phillies,128.2,2.7,4.212168487
Blake Snell,Los Angeles Dodgers,106.1,2.2,4.147031103
Ranger Suarez,Boston Red Sox,155.2,3.2,4.12371134
Andrew Abbott,Cincinnati Reds,165.1,3.4,4.11871593
George Kirby,Seattle Mariners,147.2,3,4.076086957
Cade Smith,Cleveland Guardians,69.2,1.4,4.046242775
Jacob deGrom,Texas Rangers,144.2,2.9,4.022191401
Aroldis Chapman,Boston Red Sox,50,1,4
Grant Taylor,Chicago White Sox,55.2,1.1,3.985507246
Jesús Luzardo,Philadelphia Phillies,161,3.2,3.97515528
Pablo López,Minnesota Twins,141.1,2.8,3.968816442
Spencer Strider,Atlanta Braves,137.1,2.7,3.938730853
Joe Ryan,Minnesota Twins,154.2,3,3.891050584
Spencer Schwellenbach,Atlanta Braves,124.2,2.4,3.8647343
MacKenzie Gore,Texas Rangers,157,3,3.821656051
Hunter Harvey,Chicago Cubs,47.2,0.9,3.813559322
Sonny Gray,Boston Red Sox,152.2,2.9,3.810775296
Tyler Glasnow,Los Angeles Dodgers,105.1,2,3.805899144
Zebby Matthews,Minnesota Twins,111.2,2.1,3.776978417
Garrett Whitlock,Boston Red Sox,70.2,1.3,3.703703704
Emmet Sheehan,Los Angeles Dodgers,87.1,1.6,3.673938002
Emmanuel Clase,Cleveland Guardians,60.1,1.1,3.660565724
Logan Gilbert,Seattle Mariners,160.2,2.9,3.620474407
Kevin Gausman,Toronto Blue Jays,162,2.9,3.580246914
Aaron Nola,Philadelphia Phillies,140.1,2.5,3.568879372
Ryan Johnson,Los Angeles Angels,73.2,1.3,3.551912568
David Bednar,New York Yankees,62,1.1,3.548387097
Grayson Rodriguez,Los Angeles Angels,96.1,1.7,3.53798127
Justin Steele,Chicago Cubs,130.1,2.3,3.535741737
Luis Garcia,New York Yankees,74,1.3,3.513513514
Shohei Ohtani,Los Angeles Dodgers,80.1,1.4,3.495630462
Shane Bieber,Toronto Blue Jays,103.1,1.8,3.491755577
Framber Valdez,Detroit Tigers,173,3,3.468208092
Edwin Díaz,Los Angeles Dodgers,58.2,1,3.436426117
Trevor Rogers,Baltimore Orioles,130.2,2.2,3.379416283
Reese Olson,Detroit Tigers,107,1.8,3.364485981
Drew Rasmussen,Tampa Bay Rays,137.1,2.3,3.355215171
Corbin Burnes,Arizona Diamondbacks,155,2.6,3.35483871
Freddy Peralta,New York Mets,161,2.7,3.354037267
Tylor Megill,New York Mets,96,1.6,3.333333333
Braxton Ashcraft,Pittsburgh Pirates,108.1,1.8,3.330249769
Trey Yesavage,Toronto Blue Jays,108.2,1.8,3.327171904
Connelly Early,Boston Red Sox,109,1.8,3.302752294
Eury Pérez,Miami Marlins,109.2,1.8,3.296703297
David Festa,Minnesota Twins,91.2,1.5,3.289473684
Cam Schlittler,New York Yankees,128.1,2.1,3.278688525
Jeremiah Estrada,San Diego Padres,67.1,1.1,3.278688525
Jacob Misiorowski,Milwaukee Brewers,116.2,1.9,3.270223752
Jonah Tong,New York Mets,116.2,1.9,3.270223752
Pete Fairbanks,Miami Marlins,55.2,0.9,3.260869565
Carlos Rodón,New York Yankees,129.1,2.1,3.253292022
Jovani Morán,Boston Red Sox,43.2,0.7,3.240740741
José Soriano,Los Angeles Angels,142.1,2.3,3.237156932
Clay Holmes,New York Mets,136.1,2.2,3.232916973
Ben Brown,Chicago Cubs,99,1.6,3.232323232
Logan Henderson,Milwaukee Brewers,94,1.5,3.191489362
Jack Perkins,Arizona Diamondbacks,82.1,1.3,3.166869671
Nick Lodolo,Cincinnati Reds,133.2,2.1,3.153153153
Tanner Bibee,Cleveland Guardians,165,2.6,3.151515152
Jack Flaherty,Detroit Tigers,140.1,2.2,3.140613847
Roki Sasaki,Los Angeles Dodgers,89.2,1.4,3.139013453
Reynaldo López,Atlanta Braves,102,1.6,3.137254902
Bryan Abreu,Houston Astros,70.2,1.1,3.133903134
Gerrit Cole,New York Yankees,115,1.8,3.130434783
Sandy Alcantara,Miami Marlins,160.1,2.5,3.123048095
Payton Tolle,Boston Red Sox,103,1.6,3.106796117
José Alvarado,Philadelphia Phillies,45.1,0.7,3.10421286
Devin Williams,New York Mets,58,0.9,3.103448276
Bubba Chandler,Pittsburgh Pirates,129,2,3.100775194
Jon Gray,#N/A,84.2,1.3,3.087885986
Jack Leiter,Texas Rangers,149.1,2.3,3.085177733
Tatsuya Imai,Houston Astros,123.2,1.9,3.084415584
Braxton Garrett,Miami Marlins,91.1,1.4,3.073545554
Robert Gasser,Milwaukee Brewers,78.1,1.2,3.072983355
Adrian Morejon,San Diego Padres,65.2,1,3.067484663
Matt Strahm,Kansas City Royals,59,0.9,3.050847458
Kumar Rocker,Texas Rangers,72.2,1.1,3.047091413
Brady Singer,Cincinnati Reds,164.1,2.5,3.046922608
Michael King,San Diego Padres,118.2,1.8,3.045685279
A.J. Puk,Arizona Diamondbacks,59.1,0.9,3.045685279
Trevor Megill,Milwaukee Brewers,46,0.7,3.043478261
Nick Martinez,Tampa Bay Rays,138.2,2.1,3.039073806
Alex Cobb,#N/A,92.2,1.4,3.036876356
David Peterson,New York Mets,145.1,2.2,3.032391454
Michael Wacha,Kansas City Royals,145.1,2.2,3.032391454
Reid Detmers,Los Angeles Angels,112.2,1.7,3.03030303
Steven Matz,Tampa Bay Rays,66,1,3.03030303
Jacob Lopez,Athletics,106.1,1.6,3.01602262
Danny Coulombe,Boston Red Sox,40,0.6,3
Simeon Woods Richardson,Minnesota Twins,127.2,1.9,2.987421384
Chris Martin,Texas Rangers,40.2,0.6,2.985074627
Patrick Sandoval,Boston Red Sox,87.2,1.3,2.981651376
Taj Bradley,Minnesota Twins,148,2.2,2.972972973
Bailey Ober,Minnesota Twins,148.2,2.2,2.968960864
Louis Varland,Toronto Blue Jays,108.2,1.6,2.957486137
Clarke Schmidt,New York Yankees,88,1.3,2.954545455
Josh Hader,Houston Astros,54.2,0.8,2.95202952
Tanner Scott,Los Angeles Dodgers,61.2,0.9,2.941176471
Gage Jump,Athletics,109,1.6,2.935779817
Robby Snelling,Miami Marlins,123,1.8,2.926829268
Cristian Mena,Arizona Diamondbacks,89.1,1.3,2.918069585
Carmen Mlodzinski,Pittsburgh Pirates,103.1,1.5,2.909796314
Joey Cantillo,Cleveland Guardians,103.1,1.5,2.909796314
Matthew Boyd,Chicago Cubs,138,2,2.898550725
Drew Anderson,Detroit Tigers,132.1,1.9,2.87660863
Fernando Cruz,New York Yankees,49,0.7,2.857142857
Nathan Eovaldi,Texas Rangers,105.2,1.5,2.851711027
Mason Englert,Tampa Bay Rays,70.2,1,2.849002849
Brayan Bello,Boston Red Sox,162,2.3,2.839506173
Jeffrey Springs,Athletics,141.1,2,2.834868887
Dietrich Enns,Baltimore Orioles,113.2,1.6,2.826855124
Jordan Wicks,Chicago Cubs,85,1.2,2.823529412
Ethan Pecko,Houston Astros,92.1,1.3,2.823018458
Andrew Morris,Minnesota Twins,99.2,1.4,2.822580645
Gavin Williams,Cleveland Guardians,149.2,2.1,2.815013405
Matt Brash,Seattle Mariners,57,0.8,2.807017544
Rhett Lowder,Cincinnati Reds,107.2,1.5,2.798507463
Tanner Houck,Boston Red Sox,100.2,1.4,2.794411178
Cody Ponce,Toronto Blue Jays,129.1,1.8,2.788536019
Ryan Burr,Toronto Blue Jays,36.1,0.5,2.770083102
Will Vest,Detroit Tigers,65,0.9,2.769230769
Brandon Pfaadt,Arizona Diamondbacks,159.2,2.2,2.763819095
Bryce Miller,Seattle Mariners,123.1,1.7,2.761982128
Ty Johnson,Tampa Bay Rays,94.2,1.3,2.760084926
Ryan Helsley,Baltimore Orioles,58,0.8,2.75862069
Will Warren,New York Yankees,138,1.9,2.753623188
Clayton Kershaw,#N/A,109,1.5,2.752293578
Foster Griffin,Washington Nationals,87.2,1.2,2.752293578
AJ Smith-Shawver,Atlanta Braves,80.2,1.1,2.743142145
Brandon Sproat,Milwaukee Brewers,124,1.7,2.741935484
Mitch Keller,Pittsburgh Pirates,161,2.2,2.732919255
